Industry_Average,Company Name,Ticker,Copmany_URL,% of 250 points,Company_Score,Environment_Resource,Social_Resource,Governance_Resource
58.24,Abercrombie & Fitch Co,ANF,http://www.abercrombie.com/,24.80%,62,https://www.ran.org/wp-content/uploads/rainforestactionnetwork/pages/15729/attachments/original/1458595645/AF_Shareholder_brief_FINAL.pdf?1458595645,https://www.cnbc.com/2019/10/16/how-abercrombie-fitch-ditched-its-past-to-try-to-bring-shoppers-back.html,https://corporate.abercrombie.com/our-company/corporate-governance/leadership
,Adidas,ADDYY,https://www.adidas.com/us,69.40%,173.5,https://report.adidas-group.com/2019/en/group-management-report-our-company/sustainability/our-progress/environmental-impacts.html,https://www.nytimes.com/2020/06/10/business/adidas-black-employees-discrimination.html,https://www.adidas-group.com/en/investors/corporate-governance/corporate-governance-overview/
,Aeropostale        ,ARO,https://www.aeropostale.com/,4.00%,10,https://www.retaildive.com/news/how-aeropostale-crashed-and-burnedand-whats-next/420071/,https://www.cnbc.com/2016/05/05/4-reasons-why-aeropostale-lost-its-cool.html,http://media.corporate-ir.net/media_files/irol/13/131103/gov/guidelines.pdf
,American Eagle,AEO,https://www.ae.com/us/en,17.20%,43,https://www.aeo-inc.com/sustainability/,https://www.fastcompany.com/90206630/how-gun-control-and-gay-rights-became-the-key-to-selling-jeans,https://www.businessinsider.com/gmi-ratings-governance-issue--american-eagle-outfitters-inc-2012-8
,Aritzia,ATZAF,https://www.aritzia.com/,15.80%,39.5,https://goodonyou.eco/how-ethical-is-aritzia/,https://www.aritzia.com/us/en/aritzia/corporate-responsibility/sustainability.html,https://www.huffingtonpost.ca/entry/aritzia-black-employees-racism_ca_5ed5672fc5b66a1b4ba8c47f
,Balenciaga,PPRUY,https://www.balenciaga.com/,46.80%,117,https://www.sleek-mag.com/article/sustainable-fashion-brands/,https://www.businessoffashion.com/articles/news-analysis/balenciaga-issues-second-apology-after-claims-of-discrimination-against-chinese-shoppers,https://www.balenciaga.com/en-us/legal-pages/kering-group-modern-slavery-statement/modern-slavery-act-kering-statement.html
,Banana Republic ,GPS,https://bananarepublic.gap.com/,50.00%,125,https://www.eco-stylist.com/how-ethical-is-banana-republic/,https://www.ehstoday.com/archive/article/21904221/gap-inc-admits-problems-vows-to-improve-working-conditions-at-garment-factories,https://www.gapinc.com/en-us/investors/governance
,Bloomgdale's,M,https://www.bloomingdales.com/,15.60%,39,https://www.glossy.co/fashion/bloomingdales-has-avoided-its-counterparts-fate-due-to-proactive-moves-from-parent-company-macys/,https://www.bloomingdales.com/b/about-us/philanthropy/,https://esg.censible.co/companies/Macy_s-environmental-social-corporate-governance-profile
,Burlington,BURL,https://www.burlington.com/,14.40%,36,https://www.burlingtoninvestors.com/corporate-responsibility/our-environment,https://www.burlington.com/aboutus/corporate-social-responsibility,https://www.burlingtoninvestors.com/corporate-responsibility/our-governance-and-ethics
,Claire's ,CLE,https://www.claires.com/,4.80%,12,https://claires.knoji.com/questions/claires-ethical-practices/,https://silverbulletmarketing.co.uk/news/view/35-pr-nightmare-for-claire-s-accessories,https://www.jdsupra.com/legalnews/claire-s-stores-a-proactive-approach-to-69012/
,Columbia Sportswear ,COLM,https://www.columbia.com/,28.20%,70.5,https://www.columbia.com/corporate-responsibility/,https://apparelimpact.org/columbia-sportswear-case-study/,https://investor.columbia.com/corporate-governance
,Converse,CNVS,https://www.converse.com/,55.20%,138,https://goodonyou.eco/how-ethical-is-converse/,https://jobs.converse.com/social-impact,https://ipkitten.blogspot.com/2014/10/converse-sues-for-trade-mark.html?m=0
,Dick's Sporting Goods ,DKS,https://www.dickssportinggoods.com/,16.40%,41,https://esg.censible.co/companies/Dick_s-Sporting-Goods-environmental-social-corporate-governance-profile,https://www.vox.com/the-goods/2018/12/17/18139699/companies-nike-patagonia-dicks-politics-kaepernick-trump-ads,https://clsbluesky.law.columbia.edu/2020/07/21/the-specter-of-political-bias-is-haunting-corporate-governance/
,Dr.Martens,DOCMF,https://www.drmartens.com/us/en/,9.60%,24,"https://goodonyou.eco/how-ethical-dr-martens/#:~:text=It%20uses%20very%20few%20eco,carbon%20and%20greenhouse%20gas%20emissions.",https://www.theguardian.com/money/2019/nov/30/are-things-going-wrong-with-the-uk-beloved-dr-martens-brand,https://www.ft.com/content/c72c2578-55c1-11e7-80b6-9bfa4c1f83d2
,DSW,DBI,https://www.dsw.com/en/us/,10.40%,26,https://dsw.knoji.com/questions/dswshoes-ethical-practices/,https://www.jdsupra.com/legalnews/dsw-shoe-warehouse-to-pay-40-000-to-89465/,https://fashionunited.com/news/business/dsw-hits-insurer-with-50-million-dollar-lawsuit/2021022638432
,Express,EXPR,https://www.express.com/,8.00%,20,https://www.eco-stylist.com/is-express-a-sustainable-brand/,https://express.knoji.com/questions/express-ethical-practices/,https://investors.express.com/news-releases/press-release-details/2020/Express-Inc-Closes-Stores-Withdraws-Q1-Guidance/default.aspx
,Fashion Nova ,NVFY,https://www.fashionnova.com/,1.60%,4,https://directory.goodonyou.eco/brand/fashion-nova,https://www.nytimes.com/2019/12/16/business/fashion-nova-underpaid-workers.html,https://www.ftc.gov/news-events/press-releases/2020/04/fashion-nova-will-pay-93-million-consumer-refunds-settle-ftc
,Forever 21,FOR,https://www.forever21.com/,6.60%,16.5,https://www.sbstatesman.com/2019/09/29/sustainable-fashion-is-on-the-rise-as-forever-21-nears-its-end/,https://therising.co/2019/10/06/forever-21-bankruptcy-echoes-gen-zs-prioritization-of-sustainability-in-fashion/,https://www.privatecompanydirector.com/news/did-lack-board-independence-derail-forever-21
,Free people,URBN,https://www.freepeople.com/,20.60%,51.5,https://goodonyou.eco/how-ethical-free-people/,https://www.freepeople.com/fp-charity/,https://www.inquirer.com/philly/business/20170502_Urban_Outfitters_board_gets_called_out_by_investment_group.html
