Company Perm ID,Ticker,Company Name,Industry Name,Stakeholder Perm ID,Stakeholder Name,Issue Perm ID,Issue Name,Metric Perm ID,Metric Name,Datapoint ID,Datapoint Name,Description,Source,Geography,Value,Unit,Resource
726734047024aaee78f5f8437,ABBV,AbbVie Inc,Pharmaceuticals & Biotech,0abe3d1d4c7e88552c35a3a3b3fa46cf,Communities,a8091ff308177c00204dee0cd4a7d438,Charitable Giving,f6ea0f41113689ee9d03c3fa6b537b91,Charitable Giving Ratio,5bc29a7b6b43d81a0df3fed007f1b464,Total Corporate Giving 2017,"An assessment of the company's charitable giving in 2017, including in-kind donations, but excluding employee donations.",Company filings and other public documents,Global,0,text,https://www.abbvie.com/content/dam/abbvie-dotcom/uploads/PDFs/AbbVieResponsibleAction-Report2017-digital.pdf
726734047024aaee78f5f8437,ABBV,AbbVie Inc,Pharmaceuticals & Biotech,0abe3d1d4c7e88552c35a3a3b3fa46cf,Communities,a8091ff308177c00204dee0cd4a7d438,Charitable Giving,f6ea0f41113689ee9d03c3fa6b537b91,Charitable Giving Ratio,5143639c90e7f2242c68ff56837ac2ca,Total Corporate Giving 2018,"An assessment of the company's charitable giving in 2018, including in-kind donations, but excluding employee donations.",Company filings and other public documents,Global,0,NULL,https://www.abbvie.com/content/dam/abbvie-dotcom/uploads/PDFs/AbbVieResponsibleAction-Report2017-digital.pdf
726734047024aaee78f5f8437,ABBV,AbbVie Inc,Pharmaceuticals & Biotech,0abe3d1d4c7e88552c35a3a3b3fa46cf,Communities,a8091ff308177c00204dee0cd4a7d438,Charitable Giving,f6ea0f41113689ee9d03c3fa6b537b91,Charitable Giving Ratio,9efc6ad3a2f5bae6593aebb13c4bb74b,Total Corporate Giving 2019,"An assessment of the company's charitable giving in 2019, including in-kind donations, but excluding employee donations.",Company filings and other public documents,NULL,0,NULL,https://www.abbvie.com/responsibility/communities-and-environment/supporting-long-term-community-strength.html
726734047024aaee78f5f8437,ABBV,AbbVie Inc,Pharmaceuticals & Biotech,0abe3d1d4c7e88552c35a3a3b3fa46cf,Communities,a8091ff308177c00204dee0cd4a7d438,Charitable Giving,f853763b0b87d18936f1b86cadaed34f,Donations in Response to COVID-19,86aa3f87fd44f78d28afc8a7a9c1597c,Cash Donations to Support Community Relief,An assessment of whether the company has provided monetary donations to COVID-19 relief organizations or efforts. ,"Company websites, company press-releases, company newsroom page, reputable news sources else",Global,Yes,yesno,https://www.abbvie.com/coronavirus.html
726734047024aaee78f5f8437,ABBV,AbbVie Inc,Pharmaceuticals & Biotech,0abe3d1d4c7e88552c35a3a3b3fa46cf,Communities,a8091ff308177c00204dee0cd4a7d438,Charitable Giving,f853763b0b87d18936f1b86cadaed34f,Donations in Response to COVID-19,ac8639e255b687b6c10103254b29a7ad,Community Cash Donations Amount,The amount that the company has contributed or pledged to contribute in cash to COVID-19 relief organizations or efforts. ,"Company websites, company press-releases, company newsroom page, reputable news sources else",Global,35000000,currency,https://www.abbvie.com/coronavirus.html
726734047024aaee78f5f8437,ABBV,AbbVie Inc,Pharmaceuticals & Biotech,0abe3d1d4c7e88552c35a3a3b3fa46cf,Communities,a8091ff308177c00204dee0cd4a7d438,Charitable Giving,f853763b0b87d18936f1b86cadaed34f,Donations in Response to COVID-19,d64f7f56d46371b017625a17b0dced5a,Community Services,"An assessment of whether the company is providing direct community services such as participating in food banks, outreach services, or contributing in-kind contributions. ","Company websites, company press-releases, company newsroom page, reputable news sources else",Global,NULL,yesno,https://www.abbvie.com/coronavirus.html
726734047024aaee78f5f8437,ABBV,AbbVie Inc,Pharmaceuticals & Biotech,0abe3d1d4c7e88552c35a3a3b3fa46cf,Communities,a8091ff308177c00204dee0cd4a7d438,Charitable Giving,f853763b0b87d18936f1b86cadaed34f,Donations in Response to COVID-19,5a08fabe05cf47eb58e6c2abd16ba8db,"Donated Production, Distribution, and Logistical Support During COVID-19","An assessment of whether a company is donating its resources for the production, distribution, and logical support in the fight against COVID-19. This concerns instances where a company has shifted its production, distribution, or logistical operations in order to help the fight against COVID-19 and it is apparent that a company is giving those resources for free.","Company websites, company press-releases, company newsroom page, reputable news sources else",Global,NULL,yesno,https://www.abbvie.com/coronavirus.html
726734047024aaee78f5f8437,ABBV,AbbVie Inc,Pharmaceuticals & Biotech,0abe3d1d4c7e88552c35a3a3b3fa46cf,Communities,a8091ff308177c00204dee0cd4a7d438,Charitable Giving,2cdb8137807cda3ac0c9c76174caf46e,Employee-Led Giving and Volunteering,b7cfff19b0f18d5a53be4e5c85a7862d,Grants for Organizations where Employees Volunteer,"An assessment of whether the company has a program that ties charitable grants to employee volunteering (such as a 'dollars for doers' program). Must be open to all employees that volunteer rather than a competition/award program (e.g., 'Volunteer of the year award'). Companies receive a ""True"" if they do and a ""False"" if evidence was not found.",Company filings and other public documents,Global,0,truefalse,https://www.abbvie.com/responsibility/abbvie-foundation/ways-we-help.html
726734047024aaee78f5f8437,ABBV,AbbVie Inc,Pharmaceuticals & Biotech,0abe3d1d4c7e88552c35a3a3b3fa46cf,Communities,a8091ff308177c00204dee0cd4a7d438,Charitable Giving,2cdb8137807cda3ac0c9c76174caf46e,Employee-Led Giving and Volunteering,f1124641f984b39825fc035f97b64add,Paid Time Off For Volunteering,"An assessment of whether the company sponsors employee volunteering with paid time off. Assigned one of three scores: ""0:"" No evidence found that VTO is offered. ""5:"" Evidence of allowing employees to volunteer on company time, but with restrictions on the time or cause, such as a company ""Day of Volunteering."" It must be a program open to a majority of employees. ""10:"" Evidence of a program where employees have a set amount of hours they can use for a cause and time of their choosing commonly known as ""volunteer time off"" (VTO). This must also be open to a majority of employees.",Company filings and other public documents,Global,5,text,https://www.abbvie.com/responsibility/abbvie-foundation/focus/giving-back.html
726734047024aaee78f5f8437,ABBV,AbbVie Inc,Pharmaceuticals & Biotech,0abe3d1d4c7e88552c35a3a3b3fa46cf,Communities,a8091ff308177c00204dee0cd4a7d438,Charitable Giving,2cdb8137807cda3ac0c9c76174caf46e,Employee-Led Giving and Volunteering,4375fe28c3bb2ddd82f5762a426c529b,Program to Match Employee Giving,"An assessment of whether the company discloses a program to match employee donations and its openness to employees' giving preferences. Three scores are assigned: ""0"" if no evidence is found. Companies score a ""5"" if there is evidence of a matching program but with limitations on the cause or type of organization (e.g. some companies only match giving to educational institutions). Companies score a ""10"" if there is evidence of a matching program with broad allowance of causes and types of organizations. Matching employee donations to employee-assistance or employee emergency funds do not qualify for either ""5"" or ""10.""",Company filings and other public documents,Global,0,text,https://www.abbvie.com/responsibility/abbvie-foundation/ways-we-help.html
726734047024aaee78f5f8437,ABBV,AbbVie Inc,Pharmaceuticals & Biotech,0abe3d1d4c7e88552c35a3a3b3fa46cf,Communities,a8091ff308177c00204dee0cd4a7d438,Charitable Giving,5ccc7f0dac0677412a14c91b1050e40b,Transparent Charitable Giving,b7e3d2d7fcc98600a51e4892dc8b1c34,All Grant Recipients Named With Amounts,"An assessment of whether the company makes an effort to disclose all organizations it donated to, including names and the amount in the last reported year (it must be 2016 or later). Companies receive a ""True"" if they do and a ""False"" if evidence was not found.",Company filings and other public documents,Global,0,truefalse,https://www.abbvie.com/responsibility/abbvie-foundation/foundation-partners.html
726734047024aaee78f5f8437,ABBV,AbbVie Inc,Pharmaceuticals & Biotech,0abe3d1d4c7e88552c35a3a3b3fa46cf,Communities,a8091ff308177c00204dee0cd4a7d438,Charitable Giving,5ccc7f0dac0677412a14c91b1050e40b,Transparent Charitable Giving,c9e6d19f0fea2e70dd5b1d24501f6030,All Grant Recipients Named Without Amounts,"An assessment of whether the company releases the names of all of the organizations to which it contributed in the last reported year (it must be 2016 or later). Companies receive a ""True"" if they do and a ""False"" if evidence was not found.",Company filings and other public documents,Global,1,truefalse,https://www.abbvie.com/responsibility/abbvie-foundation/foundation-partners.html
726734047024aaee78f5f8437,ABBV,AbbVie Inc,Pharmaceuticals & Biotech,0abe3d1d4c7e88552c35a3a3b3fa46cf,Communities,a8091ff308177c00204dee0cd4a7d438,Charitable Giving,5ccc7f0dac0677412a14c91b1050e40b,Transparent Charitable Giving,a3af08b299f4f935bf3f14a498fe0efd,At Least One Charitable Recipient,"An assessment of whether a company discloses the name and amount of at least one organization to which it contributed in the last reported year (it must be 2016 or later). Companies receive a ""True"" if they do and a ""False"" if evidence was not found.",Company filings and other public documents,Global,0,truefalse,https://www.abbvie.com/responsibility/abbvie-foundation/focus.html
726734047024aaee78f5f8437,ABBV,AbbVie Inc,Pharmaceuticals & Biotech,0abe3d1d4c7e88552c35a3a3b3fa46cf,Communities,cd067e93c7f1d7da998e44555a08b212,Community Development,993d5a2cd2fa21b9c8aa835ecc873fae,Engages with Local Communities,6acd7fed6953265258abb86b2c54901f,Community Engagement Mechanism,"An assessment of whether the company has a formal system to consult and engage with communities where it operates. Assigned one of five scores. ""0"" is given if there is no evidence of community engagement. A company will score a ""2.5"" if there is disclosure of passive engagement where communities can reach out to companies and contact information is given. ""5"" will be awarded if a company has an active structured program to engage with communities (e.g. if it involves nonprofits or civil society in its sustainability materiality assessment at the start of a CSR report or has a community advisory board). There must be some kind of established way that civil society or community members provide feedback or advice to the company. A company will score a ""7.5"" when it demonstrates that it has both a passive and an active community engagement mechanism. A score of ""10"" is given where the company discloses the issues the community has raised as a result of the consultations.",Company filings and other public documents,Global,0,text,https://www.abbvie.com/responsibility/contribute-to-communities.html
726734047024aaee78f5f8437,ABBV,AbbVie Inc,Pharmaceuticals & Biotech,0abe3d1d4c7e88552c35a3a3b3fa46cf,Communities,cd067e93c7f1d7da998e44555a08b212,Community Development,544a7bcf077fe6b89563975690784797,Local Employment Pipeline,f4b09dff84f15f123ce9814ce1651479,Apprenticeship Programs,"An assessment of whether the company has an apprenticeship program in the U.S. Companies receive a ""True"" if they do and a ""False"" if evidence was not found.",Company filings and other public documents,U.S.,0,truefalse,https://www.abbott.com/careers/students/internships.html
726734047024aaee78f5f8437,ABBV,AbbVie Inc,Pharmaceuticals & Biotech,0abe3d1d4c7e88552c35a3a3b3fa46cf,Communities,cd067e93c7f1d7da998e44555a08b212,Community Development,544a7bcf077fe6b89563975690784797,Local Employment Pipeline,0e72e8a0686e402efe24f3173f3a1855,Local Schools Funding,"An assessment of whether the company gives funding to local education, e.g. in the form of contributions to community colleges, high schools, after-school educational programs, and scholarships for students who are not related to employees. Companies receive a ""True"" if they do and a ""False"" if evidence was not found.",Company filings and other public documents,Global,0,truefalse,https://www.abbvie.com/responsibility/contribute-to-communities/transformative-education.html
726734047024aaee78f5f8437,ABBV,AbbVie Inc,Pharmaceuticals & Biotech,0abe3d1d4c7e88552c35a3a3b3fa46cf,Communities,cd067e93c7f1d7da998e44555a08b212,Community Development,544a7bcf077fe6b89563975690784797,Local Employment Pipeline,bab434c7e923540c6419a87abcda7126,Re-Entry Policy,"An assessment of whether the company has a re-entry program that focuses on hiring people with criminal records, or has a policy of eliminating barriers for those with a criminal record. Companies receive a ""True"" if they do and a ""False"" if evidence was not found.",Company filings and other public documents,U.S.,0,truefalse,https://www.abbvie.com/responsibility/corporate-responsibility-resources.html
